,S,call,put
216,32819.27710843374,8947.154392432676,7.708416023535298e-08
217,32915.66265060241,9043.539934577628,5.3362508459814524e-08
218,33012.048192771086,9139.925476729808,3.6866940960022433e-08
219,33108.43373493976,9236.311018887034,2.5420017030011523e-08
220,33204.819277108436,9332.696561047786,1.7492845556126288e-08
221,33301.20481927711,9429.082103210978,1.201431277591107e-08
222,33397.590361445786,9525.467645375873,8.235673929191437e-09
223,33493.97590361446,9621.853187541954,5.634675535890425e-09
224,33590.361445783135,9718.238729708835,3.8478310805837945e-09
225,33686.7469879518,9814.62427187628,2.622696816447268e-09
226,33783.13253012048,9911.009814044119,1.784320267337264e-09
227,33879.51807228915,10007.395356212219,1.2117072703032157e-09
228,33975.90361445783,10103.780898380508,8.213538480947837e-10
229,34072.2891566265,10200.16644054891,5.557480941332936e-10
230,34168.67469879518,10296.55198271741,3.7536012248511066e-10
231,34265.06024096385,10392.937524885961,2.530742991264753e-10
232,34361.44578313253,10489.323067054549,1.7032756807619782e-10
233,34457.8313253012,10585.708609223173,1.144368799346387e-10
234,34554.21686746988,10682.094151391808,7.675352591287245e-11
235,34650.60240963855,10778.479693560457,5.139122462436668e-11
236,34746.98795180723,10874.865235729114,3.435143474956556e-11
237,34843.3734939759,10971.250777897785,2.2923081199747133e-11
238,34939.75903614458,11067.636320066445,1.5271445824272882e-11
239,35036.14457831325,11164.021862235117,1.0157180297793235e-11
240,35132.530120481926,11260.407404403784,6.744639480415711e-12
241,35228.9156626506,11356.792946572466,4.47140040509549e-12
242,35325.301204819276,11453.178488741138,2.9596082897837947e-12
243,35421.68674698795,11549.564030909805,1.955857949336828e-12
244,35518.072289156626,11645.949573078484,1.2905037621094051e-12
245,35614.4578313253,11742.335115247155,8.501715392792411e-13
246,35710.843373493975,11838.72065741583,5.592236679487904e-13
247,35807.22891566265,11935.106199584505,3.6728444318563014e-13
248,35903.614457831325,12031.49174175318,2.4085950451203675e-13
249,36000.0,12127.877283921858,1.577159107384029e-13
