,S,call_Delta,call_Gamma,call_Vega,call_Theta,call_Rho,put_Delta,put_Gamma,put_Vega,put_Theta,put_Rho
98,21445.783132530123,0.02012290231477037,4.397807565267542e-05,299.2408896648256,-355.1967833260698,34.80886298388086,-0.9798770976852297,4.397807565267542e-05,299.2408896648256,1196.4911932190098,-1927.2834150499393
99,21542.168674698798,0.024746539065286483,5.21267217578423e-05,357.88224465939487,-425.8691989667607,42.977628322094795,-0.9752534609347135,5.21267217578423e-05,357.88224465939487,1125.8187775783188,-1919.1146497117254
100,21638.554216867473,0.03020362649099653,6.127700022170373e-05,424.47769251934614,-506.45000666235273,52.66208643245773,-0.9697963735090035,6.127700022170373e-05,424.47769251934614,1045.2379698827267,-1909.4301916013624
101,21734.939759036148,0.036591808680859435,7.144861322026001e-05,499.3575043103693,-597.4489403335996,64.04949181927729,-0.9634081913191406,7.144861322026001e-05,499.3575043103693,954.2390362114799,-1898.0427862145427
102,21831.32530120482,0.0440096699949444,8.264087820025589e-05,582.7147629057724,-699.2286783760611,77.33110178407631,-0.9559903300050556,8.264087820025589e-05,582.7147629057724,852.4592981690182,-1884.7611762497438
103,21927.710843373494,0.052554634889384944,9.482999270169881e-05,674.5796002981042,-811.9736701388103,92.69842926750623,-0.9474453651106151,9.482999270169881e-05,674.5796002981042,739.7143064062691,-1869.393848766314
104,22024.09638554217,0.06232062815871272,0.00010796682540618726,774.7960986300526,-935.6614711857214,110.33897979238841,-0.9376793718412872,0.00010796682540618726,774.7960986300526,616.0265053593581,-1851.7532982414318
105,22120.481927710844,0.07339555398599584,0.00012197539016467957,883.0032058034195,-1070.0381413043003,130.43156705950165,-0.9266044460140042,0.00012197539016467957,883.0032058034195,481.6498352407792,-1831.6607109743186
106,22216.86746987952,0.08585866644441609,0.00013675214033034136,998.6209579888059,-1214.599218228028,153.1413309550499,-0.9141413335555839,0.00013675214033034136,998.6209579888059,337.08875831705154,-1808.9509470787702
107,22313.253012048193,0.09977791600027813,0.0001521661915814753,1120.8431617282943,-1368.5776475585394,178.61460754401358,-0.9002220839997219,0.0001521661915814753,1120.8431617282943,183.11032898654003,-1783.4776704898065
108,22409.63855421687,0.1152073652398713,0.0001680605437068485,1248.6374696386538,-1530.9398262255463,206.97382124917212,-0.8847926347601287,0.0001680605437068485,1248.6374696386538,20.748150319533124,-1755.1184567846478
109,22506.024096385543,0.13218477173794546,0.0001842543273706601,1380.7534938437122,-1700.390610345155,238.31258324926029,-0.8678152282620546,0.0001842543273706601,1380.7534938437122,-148.70263380007555,-1723.77969478456
110,22602.409638554218,0.15072943616607049,0.00020054605309077685,1515.7392536320526,-1875.3877622360897,272.6911858912439,-0.8492705638339295,0.00020054605309077685,1515.7392536320526,-323.6997856910102,-1689.401092142576
