,S,quantum,black_scholes,finite_difference
181,33573.60204831049,4.222411568226337e-09,4.1122382655175325e-09,3.0882119157505666e-07
182,33784.92221544928,1.8226236985149655e-09,1.7715738329471968e-09,1.4078206702238668e-07
183,33997.57248154425,7.752754427741193e-10,7.524161814367661e-10,8.888201296092474e-08
184,34211.5612185519,3.2490248538745036e-10,3.15041478617472e-10,3.872718045552596e-08
185,34426.896851123594,1.3339492286232718e-10,1.3004128315594262e-10,2.4762152451045216e-08
186,34643.58785693766,0.0,5.2916620229101006e-11,1.070922526768663e-08
187,34861.642767032834,0.0,2.1227263340248096e-11,6.6983577805259504e-09
188,35081.07016614431,0.0,8.394231574515996e-12,2.971101030187622e-09
189,35301.87869304142,0.0,3.272254908410887e-12,1.7632452081839862e-09
190,35524.07704086816,0.0,1.2574392097957562e-12,7.877275733277833e-10
191,35747.67395748514,0.0,4.763160579266576e-13,4.523532576604216e-10
192,35972.67824581413,1.3471566467284529e-10,1.7785524397467495e-13,2.001550767551635e-10
193,36199.0987641844,3.4339287073470363e-10,6.546307850976466e-14,1.1320096596512512e-10
194,36426.944426681795,8.604632895525363e-10,2.3750881533283186e-14,4.8737449467411245e-11
195,36656.22420349946,2.1396017330393072e-09,8.493995753557036e-15,2.7640581737534927e-11
196,36886.94712129108,5.239382762325267e-09,2.9942561684125505e-15,1.1335419308073184e-11
197,37119.12226352624,1.2633555788510799e-08,1.040414139977425e-15,6.582367545513477e-12
198,37352.758770847875,3.0026404691223536e-08,3.5633611922804724e-16,2.534433234035404e-12
199,37587.86584143245,7.033610511914093e-08,1.202945156075288e-16,1.5268054798354645e-12
200,37824.45273135187,1.6238454523229402e-07,4.002767889746789e-17,5.921543638992508e-13
201,38062.528754937935,3.6949667224868847e-07,1.3128041309303443e-17,3.4406458522781364e-13
202,38302.10328514911,8.286677512061237e-07,4.243858435263374e-18,1.356072079314574e-13
203,38543.18575393927,1.8317117229131404e-06,1.3521966942163629e-18,7.498932506037385e-14
204,38785.785652629434,3.990665625331064e-06,4.2465241374909465e-19,3.039174901711454e-14
205,39029.91253228117,8.569377013635392e-06,1.314434350038074e-19,1.568439394915028e-14
206,39275.57600407267,1.8137376155396188e-05,4.0100770381770995e-20,6.64884510443667e-15
207,39522.78573967722,3.783782448907523e-05,1.2057911295989135e-20,3.1035557181891444e-15
208,39771.55147164371,7.780544222213396e-05,3.573502938499417e-21,1.4140301073822012e-15
209,40021.88299378016,0.00015770003813255631,1.043797191960167e-21,5.645024485281007e-16
210,40273.79016153907,0.000315063315169194,3.0049368383725753e-22,2.903539314349846e-16
211,40527.28289240551,0.0006204612311106977,8.526076444084634e-23,1.0458887327208132e-16
212,40782.37116628757,0.0012044510131535046,2.3842689177358542e-23,5.688431354784327e-17
213,41039.06502590904,0.0023047754317231735,6.5712949718231644e-24,2.1653405510584888e-17
214,41297.374577205206,0.004347512018228252,1.7849828283678874e-24,1.0393791569763704e-17
215,41557.309989720394,0.00808414013024549,4.778616698431761e-25,4.328811041246919e-18
216,41818.88149700854,0.014818914292050423,1.2608203560544246e-25,1.6823712609712562e-18
217,42082.09939703574,0.026779200821016407,3.2785736541360636e-26,8.245660573245389e-19
218,42346.974052586156,0.04770756240748795,8.402244491675113e-27,2.8949675431424377e-19
219,42613.51589166967,0.08379064737109022,2.12218042368491e-27,1.4582218535583754e-19
220,42881.735407932596,0.1450886794203403,5.282554113693219e-28,5.594235687541485e-20
221,43151.643161070504,0.2476924840941835,1.295920516909788e-28,2.2524316384062054e-20
222,43423.24977724441,0.4169134017514886,3.1331680671120445e-29,1.0206044261705555e-20
223,43696.56594949882,0.6919039814014053,7.465486941893297e-30,3.4740023085296894e-21
224,43971.60243818277,1.1322096459500057,1.7530728752251707e-30,1.6920550687737978e-21
225,44248.370071373545,1.826854554430531,4.05702318367062e-31,6.41051696367424e-22
226,44526.87974530269,2.906653628650485,9.252925253008856e-32,2.2973122153159996e-22
227,44807.14242478542,4.560495062880577,2.0797592501531776e-32,1.0919246891065185e-22
228,45089.169143652005,7.056324169524652,4.6068913198923705e-33,3.759383804372091e-23
229,45372.97100518224,10.767444438754922,1.0056856403654207e-33,1.594044587371482e-23
230,45658.559182542675,16.204496183972694,2.1635873809707834e-34,6.45518090871344e-24
231,45945.944919226145,24.053039997748797,4.5871517499286237e-35,2.0981795253577268e-24
232,46235.13952949494,35.21603392275177,9.584442559167643e-36,9.651994440194194e-25
233,46526.154398825885,50.859641519990525,1.9735327496554677e-36,3.5910036433456365e-25
234,46819.0009843587,72.45976470840571,4.00473905165292e-37,1.1261083125896962e-25
235,47113.690815347116,101.84552220322911,8.008574643530008e-38,5.358878952664833e-26
236,47410.235493612454,141.23470026905855,1.578287436096741e-38,1.9040142769826278e-26
237,47708.64669400088,193.255143620521,3.0652479901481344e-39,5.844962280412623e-27
238,48008.93616484273,260.94532669641706,5.8666825458010435e-40,2.7789845415476545e-27
239,48311.11572841516,347.72716665749687,1.106536784976759e-40,9.675341992936294e-28
240,48615.19728140731,457.34471913380816,2.056763171201837e-41,2.9410476389432577e-28
241,48921.192795389084,593.7639004607986,3.767443771358749e-42,1.3507241467458178e-28
242,49229.114317282234,761.0308833133188,6.800678689103717e-43,4.712938950860456e-29
243,49538.97396983475,963.0902678501493,1.2097612475982801e-43,1.434017882573316e-29
244,49850.78395209778,1203.5683361476495,2.1207427551331776e-44,6.093058871767899e-30
245,50164.556539906465,1485.531291801574,3.663668977659055e-45,2.1883409670580764e-30
246,50480.304086362834,1811.2328659426198,6.2371099221300465e-46,6.749600117943086e-31
247,50798.039022322264,2181.8694399117758,1.0463778853119482e-46,2.4689981832409035e-31
248,51117.77385688296,2597.3632807171894,1.7299388827917765e-47,9.542535628035775e-32
249,51439.52117787806,3056.1950714958707,2.818442069685545e-48,3.0389761035192553e-32
250,51763.29365237177,3555.3052819912564,4.525043129174226e-49,8.836757000376798e-33
251,52089.10402715771,4090.079956413866,7.15930267822673e-50,3.771333023872145e-33
252,52416.965129260774,4654.43039936319,1.1162263441544886e-50,1.2838167237880939e-33
253,52746.889866442325,5240.968531601054,1.7150094925215717e-51,3.866522525542307e-34
254,53078.891227707914,5841.271153754008,2.596645690826476e-52,1.2204126348996776e-34
255,53412.982283819234,6446.217961214518,3.8742708285553145e-53,4.865447330955097e-35
